Date,Time,Currency,Impact,Event,Previous,Forecast,Actual
Jan16.2023,12::02,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,06::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,10::05,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,21::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan16.2023,23::20,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,02::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,04::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,10::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,13::13,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,13::32,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,14::39,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,20::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan17.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,02::04,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,02::40,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan18.2023,,N/A,N/A,N/A,N/A,N/A,N/A
